,commentIds,comments
2363,FDA-2012-D-0071-0628,"For decades, the tobacco industry used results from these misleading animal tests to deny the link between smoking and cancer because animals forced to inhale cigarette smoke don't develop the same diseases that human smokers do.Belgium, Germany, the U.K., and other countries have banned the testing of tobacco products on animals, and all the tobacco safety tests required by the Canadian government are modern, non-animal methodsPlease stop tobacco testing on animals! Thank you"
2364,FDA-2012-D-0071-1341,Please stop the inhumane and terribly abuse of rats and mice in the testing of tobacco product's. It is unnecessary and torturous and  can just use simulator's or human cells to test the effect's instead.
2365,FDA-2012-N-0853-0029,See attached file(s)
2366,FDA-2012-D-0071-1312,Please forbid tobacco and another tests on animals
2367,FDA-2013-N-0521-0190,"he Honorable Henry L. Marsh, III, Senate of Virginia - Comment"
2368,FDA-2012-D-0071-1018,please please do not allow animal testing for tobacco firms.  This madness must stop  - this animal testing of any kind should be banned completely.  Thousands and thousands of Canadian - care about all animals  and find the practice of animal testing for any product totally insane.  The madness must stop.
2369,FDA-2012-D-0071-0233,"PLEASE stop this cruel research on rats and all animals.  We already know that smoking causes cancer and diseases, so what is to be learned from more suffering?Thank you for kindness to all living beings."
2370,FDA-2012-D-0071-0849,"It's awfull !!! Please, stop it !"
2371,FDA-2012-D-0071-1156,"I urge you NOT to use animals in these tobacco tests, they are cruel and inhumane and useless, as we all know that tobacco is harmful to us! NO more tax money being used for animal experiments!"
2372,FDA-2015-N-1514-0453," As two pediatricians, we implore you to take the sensible approach to protecting children from a significant poisoning risk. We have lost one child in the US to a nicotine e-juice preventable death, and countless other children have been poisoned or hospitalized. Please act swiftly to enact policy to prevent this from happening again. Please see the attached for our full comment. Sincerely, Susanne E. Tanski, MD MPHAssociate Professor of Pediatrics, Geisel School of Medicine at DartmouthSenior Scholar C. Everett Koop Institute at DartmouthJames D. Sargent, MDProfessor of Pediatrics, Geisel School of Medicine at DartmouthDirector of the C. Everett Koop Institute at Dartmouth"
2373,FDA-2012-D-0071-0351,"The continued testing of any animals for tobacco use, or any other product is disgusting, outdated, barbaric, cruel, inhumane & totally unnecessary!  Everyone knows what tobacco use can cause, yet the continuation of these experiments, hurting innocent animals, goes on because of lack of respect for life, even rodents have a right to a healthy existence!  People make their own stupid decisions about what they use on or in their bodies, we don't have the right to force it on the innocent who have no choice!"
2374,TTB-2010-0004-0073,"My opinion I pay enough taxes on politacal nonsense as it is,so lets take someof the RICHES helocopter an yacht fuel money instead of the poor that live week to week.. COME ON.!!!! Reclassify pipe tobacco...."
2375,FDA-2015-N-1514-0348,"With young children I can attest to how easily and quickly this product could be ingested.  Within seconds a child could easily ingest dangerous amounts of nicotine if packaging is not modified.  Liquid nicotine is no less harmful than prescription drugs that require child-proof bottles and thus, liquid nicotine should require the same precautions."
2376,FDA-2012-D-0071-0903,Please stop the testing of tobacco products on animals. This disgusting practice is cruel and unnecessary!
2377,FDA-2012-D-0071-1196,Please do not use animals to test Tabacco products . That is horrible treatment and useless because it doesn't even benefit humans.  
2378,FDA-2019-D-4188-0012,"Please see the uploaded file, Comments_on_TTPandIS_Studies_by_FDACALLP_and_L&ALLC.pdf, for an explanation of how the complexity and costs of the studies proposed in the Guidance would adversely affect the small-scale tobacco product manufacturers."
2379,FDA-2015-N-1514-0247,"The County of Santa Clara submits the attached letter to provide information to the Food and Drug Administration (FDA) as it considers rules related to the regulation of tobacco products and restrictions regarding the sale and distribution of such tobacco products.  We are supportive of your efforts to develop regulations that once enacted, will improve the health of Americans across the nation. As you will read in our letter, we support requiring the use of nicotine exposure warnings and child resistant packaging for liquid nicotine, nicotine-containing e-liquid(s), and other tobacco products. "
2380,FDA-2012-D-0071-1419,"It is clear that tobacco products are  carcinogenic to  humans..Please do not sacrifice animals to underscore this fact.It is horrific  and cruel to try to prove the  same or otherwise.Please let go of this idea  of testing animals to prove what we already know for people. If people want to smoke or use tobacco products, let them. Just don't cause more suffering of others or of animals for the sake of the tobacco industry.Thank you."
2381,FDA-2009-N-0294-0366,"All tobacco products should list ingredients, nicotine levels, and harmful effects. Products and devices that emit sidestream smoke or toxic fumes should contain advice against using in presence of children and pregnant women. Regulations should support strong efforts (national, state and local) to protect workers and public against secondhand smoke, including multi-unit housing projects. A funding source from a national and state tobacco tax (on all products) should be provided for strict enforcement of local, state and national smoking laws as well as prevention and treatment of tobacco related diseases.  We should have a national regulation mandating smoke-free cars carrying children. It is extremely important to have an Advisory Committee that is independent of the tobacco industry and its affiliates. All nicotine products (including new ones) should be tested for health and safety and regulated BEFORE they enter the market. For those already on the market, they should be evaluated to see if they can be made less hazardous and addictive. Menthol and other additives should not be allowed in tobacco. All tobacco products should be treated and taxed equally. Nicotine levels should be systematically reduced to enable tobacco users to quit. Free NRT & support should be provided for those who want to quit. The tobacco industry (not the victims of tobacco addiction) should have to pay for treatment of tobacco related diseases and low birth weight babies to reduce the burden off the state and federal government. We should have a national hotline for reporting violations of  federal laws concerning excise taxes, as well as other federal violations. Thank you for your work and interest in saving lives and health care dollars."
